chunk,chunk_size,local_tokens,context_len,case,cache,timing,mean_us,median_us,queries_per_second,p05_us,p95_us,l2_flush_bytes,speedup_vs_trtllm
0,8192,512,8192,trtllm/native,warm,cuda-event,106.64447978138924,105.47199845314026,4854369.003233351,104.73600029945374,106.84800148010254,0,1.0
0,8192,512,8192,flashmla-prefill/native,warm,cuda-event,126.67583957314491,126.94399803876877,4033274.57705905,125.27839317917824,127.64959633350372,0,0.8308545506887931
0,8192,512,8192,flashmla-decode/native,warm,cuda-event,174.58591848611832,174.43199455738068,2935241.3317246903,174.17599260807037,175.0528059899807,0,0.6046597054673045
0,8192,512,8192,trtllm/native,cold,cuda-event,106.96320027112961,106.89600184559822,4789702.0577022005,105.18240369856358,108.57599973678589,268435456,1.0
0,8192,512,8192,flashmla-prefill/native,cold,cuda-event,126.24095931649208,126.27199292182922,4054739.203466616,124.92639757692814,127.91039794683456,268435456,0.846553533939818
0,8192,512,8192,flashmla-decode/native,cold,cuda-event,175.20160019397736,175.07199943065643,2924511.0678181066,174.36479404568672,176.57600343227386,268435456,0.6105830869198374
0,8192,1024,8192,trtllm/native,warm,cuda-event,203.44864025712013,203.0400037765503,5043341.119747679,201.46559923887253,203.45759987831116,0,1.0
0,8192,1024,8192,flashmla-prefill/native,warm,cuda-event,247.35103994607925,247.75999784469604,4133032.002373023,245.21760419011116,248.5775999724865,0,0.8195027669633026
0,8192,1024,8192,flashmla-decode/native,warm,cuda-event,363.1372803449631,362.91199922561646,2821620.6743921847,362.48638927936554,363.80960643291473,0,0.5594744847505679
0,8192,1024,8192,trtllm/native,cold,cuda-event,203.08575943112373,203.0400037765503,5043341.119747679,202.54719331860542,204.15519699454308,268435456,1.0
0,8192,1024,8192,flashmla-prefill/native,cold,cuda-event,246.9788797199726,247.69599735736847,4134099.908455941,244.37440559267998,248.76960143446922,268435456,0.8197145127202446
0,8192,1024,8192,flashmla-decode/native,cold,cuda-event,363.5433593392372,363.5199964046478,2816901.4363109395,362.87839263677597,364.6159902215004,268435456,0.5585387483073663
0,16384,512,16384,trtllm/native,warm,cuda-event,106.25536017119884,105.29599711298943,4862483.03865332,104.76640053093433,106.84960149228573,0,1.0
0,16384,512,16384,flashmla-prefill/native,warm,cuda-event,126.54336042702198,126.65600329637527,4042445.5744266547,125.24640038609505,127.55200266838074,0,0.831354174871574
0,16384,512,16384,flashmla-decode/native,warm,cuda-event,174.49375823140144,174.3839979171753,2936049.2138916175,173.8560050725937,175.01119896769524,0,0.6038168545889192
